total_bill,tip,sex,smoker,day,time,size,date
18.64,1.36,Female,No,Thur,Lunch,3,2023-02-02 11:04:39
22.76,3.0,Male,No,Thur,Lunch,2,2023-02-02 11:05:09
14.15,2.0,Female,No,Thur,Lunch,2,2023-02-02 11:08:50
20.27,2.83,Female,No,Thur,Lunch,2,2023-02-02 11:10:11
43.11,5.0,Female,Yes,Thur,Lunch,4,2023-02-02 11:15:38
12.74,2.01,Female,Yes,Thur,Lunch,2,2023-02-02 11:27:08
16.43,2.3,Female,No,Thur,Lunch,2,2023-02-02 11:35:02
15.95,2.0,Male,No,Thur,Lunch,2,2023-02-02 11:35:06
19.44,3.0,Male,Yes,Thur,Lunch,2,2023-02-02 11:36:26
18.26,3.25,Female,No,Thur,Lunch,2,2023-02-02 11:43:26
13.03,2.0,Male,No,Thur,Lunch,2,2023-02-02 11:49:34
7.56,1.44,Male,No,Thur,Lunch,2,2023-02-02 11:49:47
24.08,2.92,Female,No,Thur,Lunch,4,2023-02-02 12:09:39
21.16,3.0,Male,No,Thur,Lunch,2,2023-02-02 12:22:52
10.34,2.0,Male,Yes,Thur,Lunch,2,2023-02-02 12:24:21
28.44,2.56,Male,Yes,Thur,Lunch,2,2023-02-02 12:40:13
13.16,2.75,Female,No,Thur,Lunch,2,2023-02-02 12:53:02
27.2,4.0,Male,No,Thur,Lunch,4,2023-02-02 12:57:51
19.08,1.5,Male,No,Thur,Lunch,2,2023-02-02 13:02:58
24.71,5.85,Male,No,Thur,Lunch,2,2023-02-02 13:18:11
11.17,1.5,Female,No,Thur,Lunch,2,2023-02-02 13:22:35
12.48,2.52,Female,No,Thur,Lunch,2,2023-02-02 13:23:00
10.65,1.5,Female,No,Thur,Lunch,2,2023-02-02 13:31:34
16.4,2.5,Female,Yes,Thur,Lunch,2,2023-02-02 13:43:43
13.0,2.0,Female,Yes,Thur,Lunch,2,2023-02-02 14:05:22
16.0,2.0,Male,Yes,Thur,Lunch,2,2023-02-02 14:07:24
18.28,4.0,Male,No,Thur,Lunch,2,2023-02-02 14:33:30
14.26,2.5,Male,No,Thur,Lunch,2,2023-02-02 14:38:03
9.78,1.73,Male,No,Thur,Lunch,2,2023-02-02 14:47:31
29.8,4.2,Female,No,Thur,Lunch,6,2023-02-02 14:48:10
15.48,2.02,Male,Yes,Thur,Lunch,2,2023-02-02 14:58:09
34.83,5.17,Female,No,Thur,Lunch,4,2023-02-02 15:03:10
41.19,5.0,Male,No,Thur,Lunch,5,2023-02-02 15:06:25
20.53,4.0,Male,Yes,Thur,Lunch,4,2023-02-02 15:10:09
10.33,2.0,Female,No,Thur,Lunch,2,2023-02-02 15:18:14
11.38,2.0,Female,No,Thur,Lunch,2,2023-02-02 15:20:20
11.69,2.31,Male,No,Thur,Lunch,2,2023-02-02 15:55:51
12.43,1.8,Female,No,Thur,Lunch,2,2023-02-02 16:33:44
19.81,4.19,Female,Yes,Thur,Lunch,2,2023-02-02 16:50:36
8.35,1.5,Female,No,Thur,Lunch,2,2023-02-02 16:51:09
17.47,3.5,Female,No,Thur,Lunch,2,2023-02-02 16:51:35
16.58,4.0,Male,Yes,Thur,Lunch,2,2023-02-02 16:51:41
10.07,1.83,Female,No,Thur,Lunch,1,2023-02-02 16:58:26
17.29,2.71,Male,No,Thur,Lunch,2,2023-02-02 17:00:52
27.05,5.0,Female,No,Thur,Lunch,6,2023-02-02 17:28:18
7.51,2.0,Male,No,Thur,Lunch,2,2023-02-02 17:34:18
11.87,1.63,Female,No,Thur,Lunch,2,2023-02-02 17:35:35
8.51,1.25,Female,No,Thur,Lunch,2,2023-02-02 17:42:39
12.26,2.0,Female,No,Thur,Lunch,2,2023-02-02 17:44:39
15.98,2.03,Male,No,Thur,Lunch,2,2023-02-02 17:48:42
32.68,5.0,Male,Yes,Thur,Lunch,2,2023-02-02 17:51:32
13.42,1.68,Female,No,Thur,Lunch,2,2023-02-02 18:15:38
13.51,2.0,Male,Yes,Thur,Lunch,2,2023-02-02 18:25:23
16.47,3.23,Female,Yes,Thur,Lunch,3,2023-02-02 18:25:26
34.3,6.7,Male,No,Thur,Lunch,6,2023-02-02 18:25:47
18.71,4.0,Male,Yes,Thur,Lunch,3,2023-02-02 18:33:59
16.66,3.4,Male,No,Thur,Lunch,2,2023-02-02 18:36:26
14.52,2.0,Female,No,Thur,Lunch,2,2023-02-02 18:39:20
13.0,2.0,Female,Yes,Thur,Lunch,2,2023-02-02 18:45:41
8.52,1.48,Male,No,Thur,Lunch,2,2023-02-02 18:56:17
22.82,2.18,Male,No,Thur,Lunch,3,2023-02-02 18:58:35
18.78,3.0,Female,No,Thur,Dinner,2,2023-02-02 19:22:47
8.58,1.92,Male,Yes,Fri,Lunch,1,2023-02-03 11:01:19
13.42,1.58,Male,Yes,Fri,Lunch,2,2023-02-03 11:32:01
15.98,3.0,Female,No,Fri,Lunch,3,2023-02-03 12:02:03
13.42,3.48,Female,Yes,Fri,Lunch,2,2023-02-03 12:52:50
12.16,2.2,Male,Yes,Fri,Lunch,2,2023-02-03 13:20:18
16.27,2.5,Female,Yes,Fri,Lunch,2,2023-02-03 14:19:31
10.09,2.0,Female,Yes,Fri,Lunch,2,2023-02-03 18:25:05
22.75,3.25,Female,No,Fri,Dinner,2,2023-02-03 19:04:45
22.49,3.5,Male,No,Fri,Dinner,2,2023-02-03 19:10:50
21.01,3.0,Male,Yes,Fri,Dinner,2,2023-02-03 19:18:54
28.97,3.0,Male,Yes,Fri,Dinner,2,2023-02-03 19:20:00
12.03,1.5,Male,Yes,Fri,Dinner,2,2023-02-03 19:23:04
27.28,4.0,Male,Yes,Fri,Dinner,2,2023-02-03 19:37:16
5.75,1.0,Female,Yes,Fri,Dinner,2,2023-02-03 19:55:07
40.17,4.73,Male,Yes,Fri,Dinner,4,2023-02-03 19:57:28
16.32,4.3,Female,Yes,Fri,Dinner,2,2023-02-03 20:06:39
12.46,1.5,Male,No,Fri,Dinner,2,2023-02-03 20:32:38
15.38,3.0,Female,Yes,Fri,Dinner,2,2023-02-03 20:48:58
11.35,2.5,Female,Yes,Fri,Dinner,2,2023-02-03 20:51:43
12.69,2.0,Male,No,Sat,Dinner,2,2023-02-04 07:03:30
18.29,3.76,Male,Yes,Sat,Dinner,4,2023-02-04 07:04:55
35.83,4.67,Female,No,Sat,Dinner,3,2023-02-04 07:05:18
32.83,1.17,Male,Yes,Sat,Dinner,2,2023-02-04 07:05:29
9.55,1.45,Male,No,Sat,Dinner,2,2023-02-04 07:05:53
20.49,4.06,Male,Yes,Sat,Dinner,2,2023-02-04 07:07:02
38.73,3.0,Male,Yes,Sat,Dinner,4,2023-02-04 07:12:06
20.65,3.35,Male,No,Sat,Dinner,3,2023-02-04 07:13:42
15.53,3.0,Male,Yes,Sat,Dinner,2,2023-02-04 07:16:06
20.29,3.21,Male,Yes,Sat,Dinner,2,2023-02-04 07:17:55
16.04,2.24,Male,No,Sat,Dinner,3,2023-02-04 07:19:48
15.36,1.64,Male,Yes,Sat,Dinner,2,2023-02-04 07:20:02
29.03,5.92,Male,No,Sat,Dinner,3,2023-02-04 07:24:00
18.24,3.76,Male,No,Sat,Dinner,2,2023-02-04 07:24:00
12.6,1.0,Male,Yes,Sat,Dinner,2,2023-02-04 07:24:29
10.63,2.0,Female,Yes,Sat,Dinner,2,2023-02-04 07:24:58
11.02,1.98,Male,Yes,Sat,Dinner,2,2023-02-04 07:25:13
20.45,3.0,Male,No,Sat,Dinner,4,2023-02-04 07:25:54
15.81,3.16,Male,Yes,Sat,Dinner,2,2023-02-04 07:26:52
3.07,1.0,Female,Yes,Sat,Dinner,1,2023-02-04 07:28:42
13.28,2.72,Male,No,Sat,Dinner,2,2023-02-04 07:30:29
38.01,3.0,Male,Yes,Sat,Dinner,4,2023-02-04 07:30:36
17.92,3.08,Male,Yes,Sat,Dinner,2,2023-02-04 07:32:25
24.06,3.6,Male,No,Sat,Dinner,3,2023-02-04 07:33:43
30.06,2.0,Male,Yes,Sat,Dinner,3,2023-02-04 07:36:03
28.17,6.5,Female,Yes,Sat,Dinner,3,2023-02-04 07:36:34
31.27,5.0,Male,No,Sat,Dinner,3,2023-02-04 07:36:41
12.02,1.97,Male,No,Sat,Dinner,2,2023-02-04 07:37:51
12.76,2.23,Female,Yes,Sat,Dinner,2,2023-02-04 07:38:03
10.07,1.25,Male,No,Sat,Dinner,2,2023-02-04 07:40:30
15.06,3.0,Female,No,Sat,Dinner,2,2023-02-04 07:41:32
24.27,2.03,Male,Yes,Sat,Dinner,2,2023-02-04 07:41:50
25.89,5.16,Male,Yes,Sat,Dinner,4,2023-02-04 07:41:51
50.81,10.0,Male,Yes,Sat,Dinner,3,2023-02-04 07:42:28
24.01,2.0,Male,Yes,Sat,Dinner,4,2023-02-04 07:44:35
26.59,3.41,Male,Yes,Sat,Dinner,3,2023-02-04 07:46:51
25.21,4.29,Male,Yes,Sat,Dinner,2,2023-02-04 07:48:41
13.27,2.5,Female,Yes,Sat,Dinner,2,2023-02-04 07:51:07
15.69,3.0,Male,Yes,Sat,Dinner,3,2023-02-04 07:51:47
11.59,1.5,Male,Yes,Sat,Dinner,2,2023-02-04 07:53:53
17.81,2.34,Male,No,Sat,Dinner,4,2023-02-04 07:55:10
17.82,1.75,Male,No,Sat,Dinner,2,2023-02-04 07:56:47
7.74,1.44,Male,Yes,Sat,Dinner,2,2023-02-04 07:57:44
22.67,2.0,Male,Yes,Sat,Dinner,2,2023-02-04 08:00:36
39.42,7.58,Male,No,Sat,Dinner,4,2023-02-04 08:02:26
44.3,2.5,Female,Yes,Sat,Dinner,3,2023-02-04 08:04:35
7.25,1.0,Female,No,Sat,Dinner,1,2023-02-04 08:04:48
22.42,3.48,Female,Yes,Sat,Dinner,2,2023-02-04 08:06:45
48.33,9.0,Male,No,Sat,Dinner,4,2023-02-04 08:06:53
22.12,2.88,Female,Yes,Sat,Dinner,2,2023-02-04 08:07:29
14.73,2.2,Female,No,Sat,Dinner,2,2023-02-04 08:09:06
26.41,1.5,Female,No,Sat,Dinner,2,2023-02-04 08:09:17
13.37,2.0,Male,No,Sat,Dinner,2,2023-02-04 08:11:34
19.65,3.0,Female,No,Sat,Dinner,2,2023-02-04 08:13:40
17.07,3.0,Female,No,Sat,Dinner,3,2023-02-04 08:14:45
21.7,4.3,Male,No,Sat,Dinner,2,2023-02-04 08:14:55
16.31,2.0,Male,No,Sat,Dinner,3,2023-02-04 08:19:03
48.27,6.73,Male,No,Sat,Dinner,4,2023-02-04 08:20:06
13.81,2.0,Male,Yes,Sat,Dinner,2,2023-02-04 08:20:50
17.92,4.08,Male,No,Sat,Dinner,2,2023-02-04 08:20:52
30.14,3.09,Female,Yes,Sat,Dinner,4,2023-02-04 08:24:23
11.61,3.39,Male,No,Sat,Dinner,2,2023-02-04 08:25:40
20.69,2.45,Female,No,Sat,Dinner,4,2023-02-04 08:30:37
20.29,2.75,Female,No,Sat,Dinner,2,2023-02-04 08:31:51
16.45,2.47,Female,No,Sat,Dinner,2,2023-02-04 08:32:52
16.93,3.07,Female,No,Sat,Dinner,3,2023-02-04 08:32:57
10.59,1.61,Female,Yes,Sat,Dinner,2,2023-02-04 08:34:22
10.77,1.47,Male,No,Sat,Dinner,2,2023-02-04 08:34:28
14.31,4.0,Female,Yes,Sat,Dinner,2,2023-02-04 08:40:32
28.15,3.0,Male,Yes,Sat,Dinner,5,2023-02-04 08:41:19
10.51,1.25,Male,No,Sat,Dinner,2,2023-02-04 08:44:31
26.86,3.14,Female,Yes,Sat,Dinner,2,2023-02-04 08:44:56
18.35,2.5,Male,No,Sat,Dinner,4,2023-02-04 08:47:07
15.01,2.09,Male,Yes,Sat,Dinner,2,2023-02-04 08:47:41
14.0,3.0,Male,No,Sat,Dinner,2,2023-02-04 08:48:07
20.08,3.15,Male,No,Sat,Dinner,3,2023-02-04 08:48:31
12.9,1.1,Female,Yes,Sat,Dinner,2,2023-02-04 08:48:58
20.92,4.08,Female,No,Sat,Dinner,2,2023-02-04 08:49:11
17.78,3.27,Male,No,Sat,Dinner,2,2023-02-04 08:51:59
27.18,2.0,Female,Yes,Sat,Dinner,2,2023-02-04 08:52:14
17.59,2.64,Male,No,Sat,Dinner,3,2023-02-04 08:52:52
20.23,2.01,Male,No,Sat,Dinner,2,2023-02-04 08:53:07
11.24,1.76,Male,Yes,Sat,Dinner,2,2023-02-04 08:55:44
18.69,2.31,Male,No,Sat,Dinner,3,2023-02-04 08:57:40
19.82,3.18,Male,No,Sat,Dinner,2,2023-02-04 08:57:54
25.28,5.0,Female,Yes,Sat,Dinner,2,2023-02-04 08:59:07
15.77,2.23,Female,No,Sat,Dinner,2,2023-02-04 08:59:29
18.29,3.0,Male,No,Sun,Dinner,2,2023-02-05 19:02:18
16.21,2.0,Female,No,Sun,Dinner,3,2023-02-05 19:04:06
48.17,5.0,Male,No,Sun,Dinner,6,2023-02-05 19:05:15
19.77,2.0,Male,No,Sun,Dinner,4,2023-02-05 19:05:54
13.94,3.06,Male,No,Sun,Dinner,2,2023-02-05 19:06:08
28.55,2.05,Male,No,Sun,Dinner,3,2023-02-05 19:06:10
15.04,1.96,Male,No,Sun,Dinner,2,2023-02-05 19:06:18
16.82,4.0,Male,Yes,Sun,Dinner,2,2023-02-05 19:06:25
26.88,3.12,Male,No,Sun,Dinner,4,2023-02-05 19:06:51
32.4,6.0,Male,No,Sun,Dinner,4,2023-02-05 19:08:40
10.34,1.66,Male,No,Sun,Dinner,3,2023-02-05 19:09:02
9.94,1.56,Male,No,Sun,Dinner,2,2023-02-05 19:09:37
15.69,1.5,Male,Yes,Sun,Dinner,2,2023-02-05 19:09:57
16.99,1.01,Female,No,Sun,Dinner,2,2023-02-05 19:10:13
29.93,5.07,Male,No,Sun,Dinner,4,2023-02-05 19:11:29
12.66,2.5,Male,No,Sun,Dinner,2,2023-02-05 19:21:37
21.5,3.5,Male,No,Sun,Dinner,4,2023-02-05 19:22:30
9.6,4.0,Female,Yes,Sun,Dinner,2,2023-02-05 19:22:59
20.76,2.24,Male,No,Sun,Dinner,2,2023-02-05 19:24:28
23.68,3.31,Male,No,Sun,Dinner,2,2023-02-05 19:24:52
20.69,5.0,Male,No,Sun,Dinner,5,2023-02-05 19:27:06
34.65,3.68,Male,Yes,Sun,Dinner,4,2023-02-05 19:27:45
13.81,2.0,Male,No,Sun,Dinner,2,2023-02-05 19:30:29
25.29,4.71,Male,No,Sun,Dinner,4,2023-02-05 19:31:27
29.85,5.14,Female,No,Sun,Dinner,5,2023-02-05 19:40:27
19.49,3.51,Male,No,Sun,Dinner,2,2023-02-05 19:40:38
24.59,3.61,Female,No,Sun,Dinner,4,2023-02-05 19:40:57
10.33,1.67,Female,No,Sun,Dinner,3,2023-02-05 19:42:07
14.48,2.0,Male,Yes,Sun,Dinner,2,2023-02-05 19:42:21
17.31,3.5,Female,No,Sun,Dinner,2,2023-02-05 19:42:22
35.26,5.0,Female,No,Sun,Dinner,4,2023-02-05 19:46:02
18.15,3.5,Female,Yes,Sun,Dinner,3,2023-02-05 19:46:52
23.17,6.5,Male,Yes,Sun,Dinner,4,2023-02-05 19:47:27
10.27,1.71,Male,No,Sun,Dinner,2,2023-02-05 19:50:09
25.56,4.34,Male,No,Sun,Dinner,4,2023-02-05 19:50:56
38.07,4.0,Male,No,Sun,Dinner,3,2023-02-05 19:53:17
34.63,3.55,Male,Yes,Sun,Dinner,2,2023-02-05 19:53:51
17.26,2.74,Male,No,Sun,Dinner,3,2023-02-05 19:54:27
32.9,3.11,Male,Yes,Sun,Dinner,2,2023-02-05 19:59:28
15.42,1.57,Male,No,Sun,Dinner,2,2023-02-05 20:00:34
45.35,3.5,Male,Yes,Sun,Dinner,3,2023-02-05 20:06:20
13.13,2.0,Male,No,Sun,Dinner,2,2023-02-05 20:06:22
21.01,3.5,Male,No,Sun,Dinner,3,2023-02-05 20:08:16
22.23,5.0,Male,No,Sun,Dinner,2,2023-02-05 20:10:53
34.81,5.2,Female,No,Sun,Dinner,4,2023-02-05 20:13:00
16.29,3.71,Male,No,Sun,Dinner,3,2023-02-05 20:13:19
14.78,3.23,Male,No,Sun,Dinner,2,2023-02-05 20:13:49
18.43,3.0,Male,No,Sun,Dinner,4,2023-02-05 20:16:18
17.51,3.0,Female,Yes,Sun,Dinner,2,2023-02-05 20:23:47
17.46,2.54,Male,No,Sun,Dinner,2,2023-02-05 20:24:46
24.52,3.48,Male,No,Sun,Dinner,3,2023-02-05 20:24:48
14.83,3.02,Female,No,Sun,Dinner,2,2023-02-05 20:27:23
18.04,3.0,Male,No,Sun,Dinner,2,2023-02-05 20:27:56
31.85,3.18,Male,Yes,Sun,Dinner,2,2023-02-05 20:29:11
25.71,4.0,Female,No,Sun,Dinner,3,2023-02-05 20:31:26
23.1,4.0,Male,Yes,Sun,Dinner,3,2023-02-05 20:31:43
14.07,2.5,Male,No,Sun,Dinner,2,2023-02-05 20:33:11
8.77,2.0,Male,No,Sun,Dinner,2,2023-02-05 20:33:17
16.49,2.0,Male,No,Sun,Dinner,4,2023-02-05 20:33:51
10.29,2.6,Female,No,Sun,Dinner,2,2023-02-05 20:34:00
21.58,3.92,Male,No,Sun,Dinner,2,2023-02-05 20:34:30
23.33,5.65,Male,Yes,Sun,Dinner,2,2023-02-05 20:35:25
30.46,2.0,Male,Yes,Sun,Dinner,5,2023-02-05 20:35:43
23.95,2.55,Male,No,Sun,Dinner,2,2023-02-05 20:36:12
7.25,5.15,Male,Yes,Sun,Dinner,2,2023-02-05 20:40:31
20.9,3.5,Female,Yes,Sun,Dinner,3,2023-02-05 20:42:16
31.71,4.5,Male,No,Sun,Dinner,4,2023-02-05 20:45:24
16.97,3.5,Female,No,Sun,Dinner,3,2023-02-05 20:48:05
25.0,3.75,Female,No,Sun,Dinner,4,2023-02-05 20:50:15
24.55,2.0,Male,No,Sun,Dinner,4,2023-02-05 20:50:24
9.68,1.32,Male,No,Sun,Dinner,2,2023-02-05 20:50:27
30.4,5.6,Male,No,Sun,Dinner,4,2023-02-05 20:52:14
17.89,2.0,Male,Yes,Sun,Dinner,2,2023-02-05 20:54:56
40.55,3.0,Male,Yes,Sun,Dinner,2,2023-02-05 20:56:12
13.39,2.61,Female,No,Sun,Dinner,2,2023-02-05 20:58:44
12.54,2.5,Male,No,Sun,Dinner,2,2023-02-05 20:59:11
